0.000000,0.000000
0.000000,0.000000
0.600000,62.854329
0.600000,62.854329
1.200000,131.388004
1.200000,131.388004
1.800000,205.540935
1.800000,205.540935
2.400000,285.237668
2.400000,285.237668
3.000000,370.386758
3.000000,370.386758
3.600000,460.889550
3.600000,460.889550
4.200000,556.624935
4.200000,556.624935
4.800000,657.482963
4.800000,657.482963
5.400000,763.322284
5.400000,763.322284
6.000000,874.018317
6.000000,874.018317
6.600000,989.419077
6.600000,989.419077
7.200000,1109.391512
7.200000,1109.391512
7.800000,1233.784179
7.800000,1233.784179
8.400000,1362.420330
8.400000,1362.420330
9.000000,1495.162125
9.000000,1495.162125
9.600000,1631.841584
9.600000,1631.841584
10.200000,1772.271800
10.200000,1772.271800
10.800000,1916.304064
10.800000,1916.304064
11.400000,2063.757805
11.400000,2063.757805
12.000000,2214.440107
12.000000,2214.440107
12.600000,2368.189836
12.600000,2368.189836
13.200000,2524.816107
13.200000,2524.816107
13.800000,2684.122059
13.800000,2684.122059
14.400000,2845.935037
14.400000,2845.935037
15.000000,3010.059823
15.000000,3010.059823
15.600000,3176.300520
15.600000,3176.300520
16.200000,3344.474630
16.200000,3344.474630
16.800000,3514.393931
16.800000,3514.393931
17.400000,3685.870204
17.400000,3685.870204
18.000000,3858.715226
18.000000,3858.715226
18.600000,4032.713167
18.600000,4032.713167
19.200000,4207.666523
19.200000,4207.666523
19.800000,4383.395811
19.800000,4383.395811
20.400000,4558.708055
20.400000,4558.708055
20.615304,4620.683417
20.615304,4620.683417
21.000000,4730.075456
21.000000,4730.075456
